Unb;Mapa;Veiculo;Armazem;Nome Armazem;Cliente;Nome;Endereco;Bairro;Cidade;Cd.Vdr;Pedido;Tipo Mov;Peso Bruto;Hr.Min;Hr.Max;Situacao;
0001;   104;         ;  ;                    ;       19637;66.975.110 MARCIA DE;R   JOSE GERALDO FERNANDES DA SILV800   ;TRAVESSAO           ;CARAGUATATUBA       ;  104;505007;VENDA      ;    278,54;00:00;00:00;                 
0001;   104;         ;  ;                    ;       19637;66.975.110 MARCIA DE;R   JOSE GERALDO FERNANDES DA SILV800   ;TRAVESSAO           ;CARAGUATATUBA       ;  104;505010;BONIFICACAO;      2,64;00:00;00:00;                 
0001;   104;         ;  ;                    ;       19678;BAR E LANCH GAIVOTAS;R   DAS ANDORINHAS                68    ;JARDIM DAS GAIVOTAS ;CARAGUATATUBA       ;  104;505011;VENDA      ;    176,69;00:00;00:00;                 
0001;   104;         ;  ;                    ;       59118;PADARIA BRUNO CONFEI;AV  DOMINGOS MARTINS CABRERA      947   ;BALNEARIO RECANTO DO;CARAGUATATUBA       ;  104;505014;VENDA      ;    501,85;00:00;00:00;                 
0001;   105;         ;  ;                    ;        3217;COMANDANTE ADRIANO  ;AV  JOSE PACHECO DO NASCIMENTO    8086  ;CURRAL              ;ILHABELA            ;  105;505144;VENDA      ;    327,22;00:00;00:00;                 
0001;   105;         ;  ;                    ;        8447;VILA MOEMA          ;R   PRINCESA ISABEL               809   ;PEREQUE             ;ILHABELA            ;  105;504997;VENDA      ;    198,18;00:00;00:00;                 
0001;   105;         ;  ;                    ;        8447;VILA MOEMA          ;R   PRINCESA ISABEL               809   ;PEREQUE             ;ILHABELA            ;  105;505368;VENDA      ;     26,20;00:00;00:00;                 
0001;   105;         ;  ;                    ;        8447;VILA MOEMA          ;R   PRINCESA ISABEL               809   ;PEREQUE             ;ILHABELA            ;  105;505000;BONIFICACAO;      1,74;00:00;00:00;                 
0001;   105;         ;  ;                    ;        8665;BELLA BAR           ;R   DR CARVALHO                   70    ;CENTRO              ;ILHABELA            ;  105;505003;VENDA      ;    114,16;00:00;00:00;                 
0001;   105;         ;  ;                    ;       10544;ESCRITORIO BAR      ;R   PRINCESA ISABEL               3249  ;PEREQUE             ;ILHABELA            ;  105;505006;VENDA      ;    256,20;00:00;00:00;                 
0001;   105;         ;  ;                    ;       10663;REI DA PRAIA, BAR E ;AV  JOSE PACHECO DO NASCIMENTO    7746  ;CURRAL              ;ILHABELA            ;  105;505008;VENDA      ;    221,84;00:00;00:00;                 
0001;   105;         ;  ;                    ;       11685;CHOPERIA AVENIDA    ;AV  PRINCESA ISABEL               1574  ;PEREQUE             ;ILHABELA            ;  105;505228;VENDA      ;    477,97;00:00;00:00;                 
0001;   105;         ;  ;                    ;       15963;KOMBOSA             ;R   RIACHUELO                     5270  ;PRAIA GRANDE        ;ILHABELA            ;  105;505176;VENDA      ;    211,07;00:00;00:00;                 
0001;   105;         ;  ;                    ;       16057;ILHA DO CAMARAO II  ;AV  RIACHUELO                     5974  ;PRAIA GRANDE        ;ILHABELA            ;  105;505146;VENDA      ;    615,29;00:00;00:00;                 
0001;   105;         ;  ;                    ;       17825;LORO BAR E RESTAURAN;AV  JOSE PACHECO DO NASCIMENTO    7942  ;CURRAL              ;ILHABELA            ;  105;505013;VENDA      ;     42,64;00:00;00:00;                 
0001;   105;         ;  ;                    ;       18451;BELA ILHA ESTACIONAM;AV  RIACHUELO                     5720  ;CENTRO              ;ILHABELA            ;  105;505189;VENDA      ;     81,60;00:00;00:00;                 
0001;   105;         ;  ;                    ;       19186;TEMAKERIA           ;AV  SAO JOAO                      512   ;PEREQUE             ;ILHABELA            ;  105;505132;VENDA      ;     89,97;00:00;00:00;                 
0001;   105;         ;  ;                    ;       56737;MIRANTE             ;R   GOVERNADOR MARIO COVAS JUNIOR 16600 ;BORRIFOS            ;ILHABELA            ;  105;505015;VENDA      ;     65,56;00:00;00:00;                 
0001;   107;         ;  ;                    ;        8999;CARRINHO DO MARIO   ;R   NOSSA SENHORA APARECIDA       286   ;BAREQUECABA         ;SAO SEBASTIAO       ;  107;505254;VENDA      ;     23,84;00:00;00:00;                 
0001;   107;         ;  ;                    ;        8999;CARRINHO DO MARIO   ;R   NOSSA SENHORA APARECIDA       286   ;BAREQUECABA         ;SAO SEBASTIAO       ;  107;505347;VENDA      ;     61,42;00:00;00:00;                 
0001;   107;         ;  ;                    ;        8999;CARRINHO DO MARIO   ;R   NOSSA SENHORA APARECIDA       286   ;BAREQUECABA         ;SAO SEBASTIAO       ;  107;505255;BONIFICACAO;      4,35;00:00;00:00;                 
0001;   107;         ;  ;                    ;       11656;CARRINHO DA LU      ;R   DEBORA                        61    ;CAMBURY             ;SAO SEBASTIAO       ;  107;505016;VENDA      ;     25,48;00:00;00:00;                 
0001;   107;         ;  ;                    ;       16105;CARRINHO AME MARAS  ;R   ROMUALDO DE MATOS             183   ;BOICUCANGA          ;SAO SEBASTIAO       ;  107;505358;VENDA      ;     20,76;00:00;00:00;                 
0001;   107;         ;  ;                    ;       17691;BRUNA SANTOS        ;R   NOSSA SENHORA APARECIDA       13    ;PRAIA DE CAMBURI    ;SAO SEBASTIAO       ;  107;505341;VENDA      ;     53,60;00:00;00:00;                 
0001;   107;         ;  ;                    ;       19199;VITTORIO EMMANUEL   ;R   Rua Doutor Yojiro Takaoka     152   ;PRAIA DO TOQUE-TOQUE;SAO SEBASTIAO       ;  107;505184;VENDA      ;    194,62;00:00;00:00;                 
